text	name
Thank Representative Pallone for fighting for electric school buses to improve the health of our community and create good, green jobs in New Jersey.	CleanEnergyWorks
Home appliances that run on fossil fuels are contributing to the climate crisis and harming our health. NOW is the time for Congress to help more people run their homes on clean electricity!	donations for climate change
The cost of inaction in Springfield is too high. These four at-risk plants provide 2/3 of Illinois’ clean energy and support 28,000 direct and indirect jobs.	topic 15
If Gov. Whitmer shuts down Line 5 it means less jobs, higher gas prices and no heat source for much of the UP. HELP US STOP HER!	criticism of liberal tax policy
This extreme heat is causing infrastructure — like the roads we drive on —  to buckle and collapse. Get more facts from real climate scientists, right here.	SupportForBuildBackBetterAct
"We are proud to announce that Jeremy Kwock, our manager of pricing, has been named to the Public Utilities Fortnightly’s Fortnightly Under Forty list!
 
This year, 90 Under Forties representing 38 industry organizations from three countries were recognized for creating new tools or strategies to better serve their colleagues and communities.

Jeremy leads the development of rate design and administration of cost recovery for us. In 2020, he led the development of proposed new rate designs that sought to broadly introduce time-of-use rates to all customer classes. He currently develops new rates that respond to Hawaii’s state requirement for one hundred percent renewable energy by 2045. His response considers Hawaii’s abundance of solar energy, non-interconnected island grids, and legacy utility generation powered by imported oil.

Congratulations Jeremy!"	CleanEnergyWorks
“As of this year, we’re now at a little less than 60 percent of the oil jobs that existed in 2015. I’m not saying ‘oil is dead,’ I’m not saying that there’s a new economy. But there’s been this driver that the economy has centered around that seems to just not be able to get back up to even pre-pandemic levels, let alone 2015 levels.”. 	donations for climate change
Candace Owens & Jocko Willink discuss masculinity, why discipline brings freedom and success, and how his experience as a U.S. Navy SEAL transformed his outlook on life. Listen now!	donations for climate change
It has been a slow and steady climb to recovery for the oil and gas industry in Oklahoma. Here's the good news: drilling activity is up 170% year-over-year! Rig count is the state's best barometer for future success. We're watching it closely with fingers crossed as oil and natural gas prices rise.	ProUSOil
While trial lawyers try to kill the oil and gas industry, it’s up to us to save our jobs.	ProUSOil
Senator Michael Bennet and Senator Mitt Romney experienced the impacts of climate change and drought on the Colorado River. These climate impacts are spurring this conversation on the river and in Washington as we urge Congress to seize this opportunity to think big and go bold!	donations for climate change
Hurricanes. Wildfires. Megadroughts. Heatwaves. They all require urgent action, so what is Congress waiting for? Tell Congress to tackle climate change NOW >>>. 	promoting legislation against climate change
Thank you, Congressman Brendan Boyle, for going bold on clean energy jobs.	promoting legislation against climate change
Through innovative partnerships, we’ve helped reduce CO₂ emissions to a generational low. Let's do even more together.	ProCleanEnergyPolitician
When we talk about renewables it is important to remember that natural gas is an important and required foundational partner moving forward. You can't actually have renewables without the other. Did you know that today’s “wind catchers” are giant blades, made of materials like glass fiber in a polyester matrix, and carbon fiber embedded in an epoxy resin? https://imaginethat.org/stories/the-surprising-connection-between-wind-power-and-oil-and-natural-gas/. 	pros of wind and solar energy
Conservative values are under attack across America. Biden and Pelosi will stop at NOTHING to spread their far Left agenda - it’s up to us to stop them. Stephanie Bice is a champion for our nation’s oil and gas industry and the thousands of hardworking Americans relying on it. Rush in ANY amount right now to make sure she can preserve our shared conservative values >>. 	AntiGunBan
The next generation of nuclear carbon-free energy can bring affordable, clean energy to Wyoming. Like our page to learn more about the power of nuclear energy.	ProRenewableEnergy
"The strengthened Clean Energy Jobs Act (CEJA) will create thousands of new jobs in rural and urban areas, save residents money on energy bills, bring cleaner air to communities across the state, and help Illinois fight the climate crisis.

Tell your state legislator: pass the Clean Energy Jobs Act now!"	ProRenewableEnergy
A flight from NY to LA creates over 1,500 lbs of carbon pollution per passenger. If every parent made this pledge 👇, we could help protect your kids' future.	ProtectEnvironment
Texas needs every single megawatt of power it can get from all available energy sources. Call the Public Utility Commission about ensuring we have more supply for the grid and keeping energy costs down for consumers.	topic 15
"October 8th is #NationalHydrogenandFuelCellDay. Today, we celebrate advancements in hydrogen fuel - a clean, safe, and innovative way to combat climate change and lower carbon emissions. 

SoCalGas is championing #hydrogen development for California’s homes and businesses, because we believe in clean, safe, and reliable energy for tomorrow."	ProRenewableEnergy
Thousands of Illinoisians will face devastating job losses unless the General Assembly takes legislative action to protect and grow the state’s largest source of carbon-free energy: nuclear power. Read more from International Brotherhood of Electrical Workers President Lonnie Stephenson about the crippling environmental and economic impacts premature nuclear plant closures would have across the state. #ILNeedsNuclear. 	ProRenewableEnergy
"It's like school board magic! I wonder if they have a Harry Potter wand? Our letter comes our Wednesday and the school board says at the ""Special meeting that night,"" if the levy passes some services may come back. 

Amazing, the power our letter had on this school board.
It must have shaken them to their ""socialist wealth redistribution"" core.

Pass the $22,549,000.00 Million dollar pay raise and we will maybe, might try, perhaps, plausibly, possibly, most likely, hopefully, it is conceivable, could be, within the realm of possibility, theoretically, potentially......its all BS.

These are words to deceive, words of puffery, things a conman does, and says to bait the victim, luring them into doing what is needed to take their hard-earned money away from the taxpayers. 

It's called EXTORTION!

This school board is using our love of our children and grandchildren to try and  FORCE THROUGH this $22,540,000,00 million dollar pay raise for the administrators and union employees.

A retired teacher said it best, ” I can no longer afford to fund these lavish lifestyles” of these teachers!

Early voting starts April 6th, get your family members, friends, and neighbors to register by April 5th to VOTE NO and stop this Property Tax levy for the 4th time.

Enough with these words and deeds of trickery.

NO MEANS NO!"	advocating for city level politics
"Congratulations to Senator Michael Bennet, the new chair of the Senate Agriculture Conservation, Climate, Forestry and Natural Resources Subcommittee! 

We look forward to working with you as you seek to “promote a forward-looking energy policy that addresses climate change while working to build consensus to finance our nation’s infrastructure needs.”. "	ProRenewableEnergy
I’m sending a letter to Governor Newsom and the Legislative Budget Committee calling for a #GasTaxHoliday. This would HALT the July 1 gas tax increase. CA needs to spend $$$ more wisely and stop punishing everyday Californians at the pump! #GasIsTooDamnHigh ⛽️. 	AntiLiberalSpending
We believe smart clean energy policies ensure fairness, reliability, and affordability for all Michigan families, businesses, and communities. Are you with us?	CleanEnergyWorks
We need bold investments in the clean energy infrastructure that will create millions of good paying American jobs.	ProRenewableEnergy
Did you know fracking uses BILLIONS of gallons of freshwater every year? Click here to learn more. #ProtectWater #NMpol. 	ProRenewableEnergy
Williams is committed to being the leader in providing infrastructure that safely delivers natural gas to reliably fuel the clean energy economy.	topic 15
Mayor Bibb, it’s time to declare a climate emergency. We need bold climate leaders to protect Cleveland.	SaveEnvironment
"Facts are facts — one out of every five workers in Oklahoma has a job tied to the oil and natural gas industry. ANY federal legislation that increases taxes on oil and natural gas producers or limits the capital needed to bring new resources online will put more Oklahomans in the unemployment line. President Biden has vowed to end our industry's ""subsidies"" to fund his infrastructure proposal. Raising taxes on the industry that powers our nation is the WRONG approach."	ActionAgainstDemSpending
Conserving energy during the hottest period of the day, between 3 p.m. - 7 p.m., helps us maintain safe, reliable and affordable service. It also helps reduce energy use during a period when power costs are at their highest. Consider programming your pool pump to operate at midday or overnight instead of in the late afternoon. #BeatThePeak. 	ProRenewableEnergy
What happens if we don't act on climate? Our current coastlines gone. More droughts, wildfires, downpours, and heat waves.	SupportForBuildBackBetterAct
"Did you know? The Illinois oil exploration and production industry:

• Provides 4,000 direct jobs
• Directly and indirectly provides 14,000 jobs
• Generates more than $3 billion in direct economic output each year
• Generates $770 million in annual personal and business income
• Provides royalty income for more than 30,000 Illinoisans
• Provides $330 million in annual Illinois tax revenue and $380M in federal tax revenue
• Has generated an average of $7.46 million in property tax revenue for local communities per year since 2007

Find out more about why the oil exploration and production industry is so important to the Land of Lincoln at iprb.org!"	ActionAgainstDemSpending
"The “Doug Cozad loyalists” are circling the wagons around their criminally charged leader. 

For the record: I was told by a current government official, who was on the selection committee, Doug Cozad was fourth or fifth down on the list of qualified candidates. 

There were three candidates far superior to Cozad, but it was then Superintendent St. Pierre, who forced Cozad selection through the committee process.

Doug Cozad was St. Pierre's man then and remains so to this day.

Doug Cozad is the leader, “the man behind the curtain,” who brought hate and Intolerance into our community as a way to 🛑 stop his political opponents. 

The genesis of Cozad’s plan of attack started in his Kables mill neighborhood. 

Cozad’s friend and neighbors, Mark and Heidi Schumacker, would but together the first hate group in our community. 

The Schumackers were to covertly run Cozad’s first attack group focusing on me, my family, and my business.

The Schumachers would rally fellow Kable mill neighbors, Charlotte Moore, Sara Williamson, Maggie Clark, and Jennifer Pugh, into forming a secret FB PAGE/ group, calling it the “pink diamond ladies.”
( more will be coming on this group) 

This was the genius of Cozad’s plan of dividing our community through hate and Intolerance, into the haves, and has not. 

Pitting neighbor, against neighbor.
Attacking our Senior citizens, all was part of their plan.

All in order to stop any and all opposition to the school's $3.2 million dollars, per year, property tax levy.

Pressnell’s, McCarthy, Brinegar, Williamson, all were candidates this past election, and all are supporters of Doug Cozad.

This is no coincidence.
It was a well-thought-out, long term plan of gaining power.

Thankfully it failed.
The Patriots of Bellbrook-Sugarcreek heeded the call to VOTE.

On November 2, the community united and stopped Cozad’s supporters from gaining political power. 

The final chapter which needs to happen for our community to finally start the healing processes, from Cozad’s two-year reign of hate and Intolerance, is to remove its leader from our school system."	AntiWoke
Chispa is a grassroots community organizing program building power in the fight for climate justice. ️🌿. 	SaveEnvironment
"For the past four years, the US has been missing in action from the climate fight. Now, we have an administration that is taking action – starting with the historic American Jobs Plan. 
 
On Friday, June 11 at 3 PM ET, join Al Gore, author and environmental justice activist Catherine Flowers, and entrepreneur and founder of BlocPower, Donnel Baird, to learn why we need a strong American Jobs Plan that prioritizes jobs, infrastructure, working families, and environmental justice. Register now! http://bit.ly/why-we-need-AJP. "	ProtectEnvironment
Our children deserve the best possible future. To give them that, we must fight climate change. Sign up to take action today.	donations for climate change
"The Biden Administration’s out-of-control government spending is causing Kansans to pay more for everything from gas to groceries. 

Rising inflation is a tax on ALL Americans and a direct result of Democrat policies. 

Kansas families deserve better."	criticism of liberal tax policy
"Record inflation. More for gas and groceries. A new socialist healthcare plan that will control what medicines you can get. This is Nancy Pelosi’s America.
 
Click below and sign up to tell Frank Pallone enough is enough."	AntiLiberalSpending
NJ will save billions in shoreline damage thanks to offshore wind, officials argue. 	donations for climate change
"❗ 3X Match Ends At Midnight ❗
Now is the time to reshape our economy AND fight the climate crisis. We must stand together to reestablish American leadership on climate action. Triple your impact with a donation today, which will be matched $2-for-$1!"	SaveEnvironment
Friends don't let friends stay in toxic relationships. It's time to #BreakUpWithGas & fund renewable energy.	donations for climate change
Supporting local oil and gas provides local jobs. Learn how American oil and gas benefit your community!	criticism of liberal tax policy
NewsCenter Maine aired a story this weekend about progress made on the Clean Energy Corridor so far, featuring one local shop elated about the customers they're getting as a result.	topic 15
Did you know gas appliances in our homes: 1) increase asthma rates in children; 2) increase chances of fires and explosions in natural disasters; and 3) create emissions that account for 25% of California's climate pollution?	ProtectEnvironment
The UMWA continues its fight for justice against Warrior Met Coal and the Wall Street Owners of the company. Join us!	SaveEnvironment
Flip the switch - light comes on. Turn up the thermostat - warmth follows. As a country, we've become accustomed to this type of energy security. But because left-leaning lawmakers in D.C. want to abandon fossil fuels and emulate European nations, an increase in natural gas prices can be expected. That inflation will pose a serious threat to struggling Americans this winter. Read more ➡️ [link in bio]. 	CleanEnergyWorks
Radical liberals in D.C. are trying to pack the Supreme Court. Sign our petition and tell them that you oppose their blatant power grab.	pro-2A
"Fossil fuel interests continue to exploit our public lands -- lands that are critical for our economy, our natural legacy, and slowing the climate crisis. 

Legislation to protect 2.7 million acres of nature, plus expand outdoor access and park equity, is up in the Senate, and we need 5k more names to pressure Congress to pass this bill! Don't let this opportunity slip by -- take action now: https://sc.org/3ngG2Bf. "	donations for climate change
Did you know oil and natural gas supports thousands of jobs in North Dakota? Learn more here.	criticism of liberal tax policy
While Congressional Democrats are assembling a $3.5 trillion budget reconciliation bill, oil & natural gas companies across the mid-continent are working hard to reduce emissions. But the Democrats just don't care — their tax is ONLY designed to drive oil & gas companies of every size out of business. If passed, Oklahoma's economy will take a major hit. Click the link in our bio to read more from Petroleum Alliance President Brook Simmons. #EnergyForAll. 	criticism of liberal tax policy
"Rep. Schrader pledged to vote YES on the Build Back Better Act THIS WEEK. We’re counting on Congress to tackle the climate crisis and need Rep. Schrader's vote. 

We can’t afford to wait. Our climate can’t afford to wait."	PassBidenAct
Even as we decarbonize our energy systems, the fastest way to slow global warming is by cutting methane emissions. President Biden, this is an opportunity we can’t afford to miss.	CleanEnergyWorks
"NextEra, owner of one of Maine's dirtiest oil-fired power plants, is the top donor to a political action committee called Mainers for Local Power, which in turn is the main sponsor of a PAC run by Say No to NECEC. 

A spokeswoman for Say No to NECEC , which often brands itself as a ""grassroots organization,"" responded by telling reporters: ""we've agreed that we’ll partner on this issue."". "	ProRenewableEnergy
